[766, 'invalid_register', '00000002', 34446, 'decode.src1_out']
[767, 'invalid_register', '00000004', 34446, 'decode.src1_out']
[768, 'invalid_register', '00000008', 34446, 'decode.src1_out']
[769, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[770, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[771, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[772, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[773, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[793, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[802, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[803, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[807, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[815, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[816, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[830, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[838, 'invalid_register', '00000010', 34446, 'decode.src1_out']
[854, 'invalid_register', '00000020', 34446, 'decode.dest_out']
[860, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[867, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[875, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000021', 34446, 'decode.src2_out']
[896, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[899, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[903, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[904, 'invalid_register', '00000020', 34446, 'decode.src1_out']
[907, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000021', 34446, 'decode.src2_out']
[911, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[912, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[913, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[914, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[919, 'incorrect_immediate_operand', '000008', 34446, 'decode.imm_hi_out']
[920, 'incorrect_immediate_operand', '000008', 34446, 'decode.imm_hi_out']
[921, 'incorrect_immediate_operand', '000004', 34446, 'decode.imm_hi_out']
[922, 'incorrect_immediate_operand', '000004', 34446, 'decode.imm_hi_out']
[923, 'incorrect_immediate_operand', '000002', 34446, 'decode.imm_hi_out']
[924, 'incorrect_immediate_operand', '000002', 34446, 'decode.imm_hi_out']
[925, 'incorrect_immediate_operand', '000001', 34446, 'decode.imm_hi_out']
[926, 'incorrect_immediate_operand', '000010', 34446, 'decode.imm_hi_out']
[927, 'incorrect_immediate_operand', '000010', 34446, 'decode.imm_hi_out']
[928, 'incorrect_immediate_operand', '000020', 34446, 'decode.imm_hi_out']
[929, 'incorrect_immediate_operand', '000040', 34446, 'decode.imm_hi_out']
[930, 'incorrect_immediate_operand', '000080', 34446, 'decode.imm_hi_out']
[931, 'incorrect_immediate_operand', '000800', 34446, 'decode.imm_hi_out']
[932, 'incorrect_immediate_operand', '000800', 34446, 'decode.imm_hi_out']
[933, 'incorrect_immediate_operand', '001000', 34446, 'decode.imm_hi_out']
[934, 'incorrect_immediate_operand', '002000', 34446, 'decode.imm_hi_out']
[935, 'incorrect_immediate_operand', '004000', 34446, 'decode.imm_hi_out']
[936, 'incorrect_immediate_operand', '010000', 34446, 'decode.imm_hi_out']
[937, 'incorrect_immediate_operand', '020000', 34446, 'decode.imm_hi_out']
