[34376, '........', '..', '.', '.', '.....2..', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.....2..', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.....4..', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.....8..', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....1...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....1...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....2...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....4...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....8...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '....8...', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...1....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...1....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...2....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...2....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...4....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...4....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '...8....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..1.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..2.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..2.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..4.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..4.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..8.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '..8.....', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.1......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.2......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.4......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.4......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.8......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.8......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '1.......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '2.......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '4.......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '4.......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '8.......', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', 'ffffffff', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', 'ffffffff', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', 'ffffffff', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', 'ffffffff', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', 'ffffffff', '....', '..8', '...', '..']
[34376, '........', '..', '.', '1', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '1', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '2', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '4', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '8', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '8', '........', '....', '...', '...', '..']
[34376, '........', '..', '1', '.', '........', '....', '...', '...', '..']
[34376, '........', '..', '2', '.', '........', '....', '...', '...', '..']
[34376, '........', '..', '2', '.', '........', '....', '...', '...', '..']
[34376, '........', '.1', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.1', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.2', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.2', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.4', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.4', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.6', '1', '.', '59a38d47', '....', '.b1', '...', '..']
[34376, '........', '.8', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '.8', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '1.', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '19', '2', '.', 'a65c72b8', '....', '.4e', '...', '..']
[34376, '.......1', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.......1', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.......2', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.......4', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.......4', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.......8', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......1.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......1.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......2.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......2.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......4.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '......8.', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....1..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....2..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....2..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....4..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....4..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....8..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.....8..', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....1...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....2...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....2...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....4...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....8...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '....8...', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '...1....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '...2....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '...2....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '...4....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '...8....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..1.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..2.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..2.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..4.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..4.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '..8.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.1......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.2......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.2......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '.4......', '..', '.', '.', '........', '....', '...', '...', '..']
