0095C 0024A881
00960 00090662
00964 001A0732
00968 003BB491
0096C 001EBD59
00970 004AD212
00974 00305608
00978 0000161D
0097C 00382C9D
00980 002DF65E
00984 001C0FC2
00988 003EE029
0098C 0022CD9F
00990 002B901A
00994 0011F423
00998 003BAB59
0099C 00045871
009A0 001AB407
009A4 00266D03
009A8 0000C4DF
009AC 001C25E7
009B0 002F9E66
009B4 000DE293
009B8 002EEDD9
009BC 0001F3F6
009C0 0043A17C
009C4 0004529B
009C8 001A94F4
009CC 002D4836
009D0 0003000A
009D4 003C0CE0
009D8 003F3AFC
009DC 003EAEFF
009E0 002599ED
009E4 003C8C2E
009E8 0001B047
009EC 004A0C02
009F0 001FB1E9
009F4 00363012
009F8 001ABC96
009FC 0027F39A
00A00 0018128C
00A04 00077682
00A08 002B64C1
00A0C 0029112A
00A10 00416552
00A14 000816DF
00A18 002BDE91
00A1C 00489150
00A20 004347B8
00A24 0046C51D
00A28 003C1F9D
00A2C 00477B82
00A30 002A5F70
00A34 003D55FE
00A38 000C2154
00A3C 0001C993
00A40 004647DA
00A44 001EF02E
00A48 003E67D5
00A4C 003D54AB
00A50 00356FC7
00A54 00241D4D
00A58 00294758
00A5C 003B32DE
00A60 00355805
00A64 0001A575
00A68 00330AFC
00A6C 00169A36
00A70 00456AF6
00A74 000791C1
00A78 000433C6
00A7C 0045A5D6
00A80 00224933
00A84 00227F44
00A88 00315231
00A8C 001C4B1B
00A90 003FB88D
00A94 00045D92
00A98 000DFD96
00A9C 001E258A
00AA0 003F58BA
00AA4 001CE686
00AA8 002A15BF
00AAC 0039B2B3
00AB0 0018DF66
00AB4 0011E9CF
00AB8 00348839
00ABC 004288E0
00AC0 002169BB
00AC4 0000C37C
00AC8 003F90C5
00ACC 0018C427
00AD0 00352D79
00AD4 0043C435
00AD8 0017C839
00ADC 003F0371
00AE0 001AFE64
00AE4 0024F280
00AE8 003F1403
00AEC 0046BD63
00AF0 003F8589
00AF4 001D2E37
00AF8 0015F1AD
00AFC 00391CFF
00B00 003337EF
00B04 002ACF7A
00B08 003684C6
00B0C 0010C5D7
00B10 004460EF
00B14 00241241
00B18 0049BFE8
00B1C 003BABDF
00B20 000166AF
00B24 003C0881
00B28 003B6814
00B2C 00387327
00B30 00409250
00B34 00394AB2
00B38 0049F50B
00B3C 0018E127
00B40 0010F009
00B44 003CE869
00B48 002AB95F
00B4C 0043DBA6
00B50 0039754F
00B54 0037D500
00B58 0019120E
00B5C 00211F40
00B60 001A35C5
00B64 001BCB5B
00B68 00333A34
00B6C 003BA070
00B70 001A79FC
00B74 00084650
00B78 003E0552
00B7C 004286C7
00B80 002287F4
00B84 000E7A11
00B88 002D6FE0
00B8C 00245B12
00B90 000A6938
00B94 0033A1D4
00B98 0030A9E1
00B9C 003F86D2
